input_window,output_window,fd_test_mae,fd_val_mae,fd_train_mae,fd_best_val_mae,fd_best_epoch,base_test_mae,base_val_mae,base_train_mae,base_best_val_mae,base_best_epoch,diff_test_mae,diff_val_mae,winner_test,winner_val,improvement_test_pct,improvement_val_pct
5,1,0.01126051,0.0120314,0.01181137,0.0120314,12,0.01228734,0.01124707,0.01154873,0.01124707,29,0.00102683,-0.00078432,FracDiff,Normal Returns,8.35682289,-6.97357442
10,1,0.01126061,0.01195813,0.01181633,0.01195813,15,0.01229883,0.01185677,0.01152764,0.01185677,23,0.00103822,-0.00010136,FracDiff,Normal Returns,8.44163592,-0.85486959
30,1,0.0112545,0.01212616,0.01180934,0.01212616,3,0.01230243,0.01155971,0.01154617,0.01155971,152,0.00104793,-0.00056646,FracDiff,Normal Returns,8.51807743,-4.90027692
90,1,0.01123982,0.01182602,0.01182752,0.01182602,158,0.01232163,0.01125335,0.01156909,0.01125335,156,0.00108181,-0.00057266,FracDiff,Normal Returns,8.77974546,-5.08883589
5,5,0.00604208,0.00479258,0.00451339,0.00479242,213,0.0060468,0.00489306,0.00439274,0.00489306,122,4.72e-06,0.00010048,FracDiff,FracDiff,0.07803487,2.05351998
10,5,0.00731709,0.00462464,0.00449453,0.00462464,260,0.00611315,0.00464304,0.00427104,0.00464304,203,-0.00120394,1.84e-05,Normal Returns,FracDiff,-19.69435559,0.39638194
30,5,0.00536418,0.00511642,0.00495062,0.00511642,275,0.00560292,0.00529119,0.00534091,0.00529119,142,0.00023874,0.00017478,FracDiff,FracDiff,4.26102353,3.30318874
90,5,0.00518885,0.00546655,0.00543302,0.00546655,155,0.00561357,0.00534347,0.00534088,0.00534346,1,0.00042472,-0.00012308,FracDiff,Normal Returns,7.56598837,-2.30332888
5,30,0.00263841,0.00168323,0.00158374,0.00168322,224,0.00248401,0.00188186,0.00168169,0.00188186,184,-0.0001544,0.00019863,Normal Returns,FracDiff,-6.21571194,10.55483464
10,30,0.00309265,0.00156488,0.00154142,0.00156488,270,0.00245823,0.00159119,0.00151185,0.00159119,278,-0.00063442,2.63e-05,Normal Returns,FracDiff,-25.8079188,1.65308874
30,30,0.00263333,0.00149385,0.00145296,0.00149384,332,0.0024574,0.00138936,0.00136101,0.00138936,272,-0.00017593,-0.00010449,Normal Returns,Normal Returns,-7.15919385,-7.52035759
90,30,0.00387855,0.00167662,0.00167324,0.00167661,245,0.00279237,0.00162708,0.00165027,0.00162708,275,-0.00108618,-4.953e-05,Normal Returns,Normal Returns,-38.89814397,-3.04422707
5,90,0.00181798,0.00083241,0.00079357,0.0008324,261,0.00137599,0.00108324,0.0009457,0.00108324,162,-0.00044199,0.00025082,Normal Returns,FracDiff,-32.1217536,23.15484879
10,90,0.00175177,0.00078636,0.00075892,0.00078636,309,0.00137316,0.00087228,0.00083613,0.00087228,195,-0.00037861,8.592e-05,Normal Returns,FracDiff,-27.5725176,9.84999944
30,90,0.00193075,0.00073475,0.00071539,0.00073475,243,0.00136015,0.00074857,0.00074176,0.00074857,249,-0.0005706,1.382e-05,Normal Returns,FracDiff,-41.9511319,1.84608625
90,90,0.00161134,0.00076952,0.00075756,0.00076952,226,0.00139028,0.00082034,0.00080403,0.00082034,159,-0.00022105,5.082e-05,Normal Returns,FracDiff,-15.89999104,6.19492323
