input_window,output_window,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,2247,0.011507717285883547,0.011441097987338805,0.01231270549417662,27
5,5,2247,0.005312572641552974,0.0053238497748941726,0.0055999459615165125,20
5,30,2247,0.002142398690320998,0.0021215309944345785,0.0023265592497379787,22
5,90,2247,0.0012216795238959204,0.0012728108276204631,0.0012700383746757186,17
10,1,4087,0.011449601008671524,0.011671121195425762,0.012346468748405982,23
10,5,4087,0.00530408771491982,0.005275942933621312,0.0056140459862426126,16
10,30,4087,0.0021372742475446707,0.002105017997761492,0.002328865217716486,18
10,90,4087,0.0012211454701236072,0.001255879694570056,0.0012714651553212555,15
30,1,2879,0.01146882992653735,0.011584798408950258,0.012342147258534912,14
30,5,2879,0.005306288849163589,0.005283750452053111,0.005610916139663723,13
30,30,2879,0.0021337858977644383,0.002143488729869714,0.0023294861042351595,14
30,90,2879,0.0012174192259557192,0.0012339790455282219,0.0012749767835552304,14
90,1,11447,0.011424069349340666,0.011641592494309192,0.0124311063978039,41
90,5,2879,0.005137466997617628,0.005391706136508947,0.005737340488350289,23
90,30,2879,0.0019781992628096537,0.0020498973849461303,0.0023830756653964325,77
90,90,2879,0.0011119673326000989,0.0011619615944936002,0.0013442752363329263,83
