input_window,output_window,n_params,mae_train,mae_val,mae_test
5,1,2668,0.011553121736786192,0.011532854645605078,0.012435855604930122
5,5,2668,0.005311477663049553,0.005361204670189488,0.005648841735306105
5,30,2668,0.002145378238528448,0.0021354885310208216,0.002339113720116293
5,90,2668,0.0012233664646341374,0.0012813739141200801,0.0012784448987287248
10,1,5313,0.011502600636736277,0.011895057685240054,0.012609980404435096
10,5,5313,0.00529515792387417,0.005331310035594456,0.005712981673053432
10,30,5313,0.0021365547928744043,0.002132647886815686,0.002356861623369117
10,90,5313,0.0012207041757246286,0.0012722554029245712,0.0012878857155200361
30,1,15893,0.01139403944104279,0.012168462719728317,0.0129738582275533
30,5,15893,0.005215624313046063,0.005506908289189385,0.005915076392387519
30,30,15893,0.002097789454869399,0.0022135623611855095,0.002435886629902671
30,90,15893,0.0012001149616255508,0.0012791152514538922,0.0013514954831463845
90,1,47633,0.010911503595044504,0.013376101770358648,0.014182770610137464
90,5,47633,0.004960282805531077,0.00616272510171511,0.006379828728752468
90,30,47633,0.001976222985330645,0.002389362741670885,0.002627772820008108
90,90,47633,0.001125882168926793,0.0013680916826226631,0.0014955554220742217
