input_window,output_window,model_family,model_name,preprocessing,mae_train,mae_val,mae_test,rank_test_by_window,rank_val_by_window,best_val_mae,best_epoch,epochs_trained,n_params,lr,batch_size,elapsed_sec,source_file,model_path,notes
5,1,cnn,CNN FD,fractional_differentiation,0.01181137,0.0120314,0.01126051,1.0,7.0,0.0120314,12.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
5,1,cnn,CNN normal returns,log_returns,0.01154873,0.01124707,0.01228734,2.0,1.0,0.01124707,29.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
5,1,cnn,CNN,log_returns,0.0115567325045712,0.0112532325714922,0.0122947763222617,3.0,2.0,,29.0,,1095.0,,,,results_cnn.csv,,
5,1,competition_winner,mixto_profMIX,mixed,,0.0114342840388417,0.0122962333261966,4.0,3.0,,,,15303.0,,,,matriz_competicion.csv,,
5,1,rnn,RNN,log_returns,0.0115365757815055,0.0114498964329706,0.0123067387952638,5.0,5.0,,,15.0,2951.0,,,,rnn_resultados.csv,,
5,1,mlp,MLP,log_returns,0.0115077172858835,0.0114410979873388,0.0123127054941766,6.0,4.0,,,27.0,2247.0,,,,mlp_resultados.csv,,
5,1,baseline,Regresión lineal,log_returns,0.0115531217367861,0.011532854645605,0.0124358556049301,7.0,6.0,,,,2668.0,,,,regresion_lineal_resultados.csv,,
5,1,baseline,Buy and Hold,prices,0.0163578541151809,0.01625759714713,0.017846773307797,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
5,5,mlp,MLP,log_returns,0.0053125726415529,0.0053238497748941,0.0055999459615165,1.0,6.0,,,20.0,2247.0,,,,mlp_resultados.csv,,
5,5,baseline,Regresión lineal,log_returns,0.0053114776630495,0.0053612046701894,0.0056488417353061,2.0,7.0,,,,2668.0,,,,regresion_lineal_resultados.csv,,
5,5,rnn,RNN,log_returns,0.0050383543066691,0.0051827214290533,0.0056624264140475,3.0,5.0,,,160.0,2951.0,,,,rnn_resultados.csv,,
