input_window,output_window,best_model_family,best_model_name,best_preprocessing,best_mae_train,best_mae_val,best_mae_test,best_n_params,best_source_file
5,1,cnn,CNN FD,fractional_differentiation,0.01181137,0.0120314,0.01126051,,cnn_comparison_fd_vs_normal.csv
5,5,mlp,MLP,log_returns,0.0053125726415529,0.0053238497748941,0.0055999459615165,2247.0,mlp_resultados.csv
5,30,mlp,MLP,log_returns,0.0021423986903209,0.0021215309944345,0.0023265592497379,2247.0,mlp_resultados.csv
5,90,mlp,MLP,log_returns,0.0012216795238959,0.0012728108276204,0.0012700383746757,2247.0,mlp_resultados.csv
10,1,cnn,CNN FD,fractional_differentiation,0.01181633,0.01195813,0.01126061,,cnn_comparison_fd_vs_normal.csv
10,5,mlp,MLP,log_returns,0.0053040877149198,0.0052759429336213,0.0056140459862426,4087.0,mlp_resultados.csv
10,30,mlp,MLP,log_returns,0.0021372742475446,0.0021050179977614,0.0023288652177164,4087.0,mlp_resultados.csv
10,90,mlp,MLP,log_returns,0.0012211454701236,0.00125587969457,0.0012714651553212,4087.0,mlp_resultados.csv
30,1,cnn,CNN FD,fractional_differentiation,0.01180934,0.01212616,0.0112545,,cnn_comparison_fd_vs_normal.csv
30,5,cnn,CNN FD,fractional_differentiation,0.00495062,0.00511642,0.00536418,,cnn_comparison_fd_vs_normal.csv
30,30,mlp,MLP,log_returns,0.0021337858977644,0.0021434887298697,0.0023294861042351,2879.0,mlp_resultados.csv
30,90,mlp,MLP,log_returns,0.0012174192259557,0.0012339790455282,0.0012749767835552,2879.0,mlp_resultados.csv
90,1,cnn,CNN FD,fractional_differentiation,0.01182752,0.01182602,0.01123982,,cnn_comparison_fd_vs_normal.csv
90,5,cnn,CNN FD,fractional_differentiation,0.00543302,0.00546655,0.00518885,,cnn_comparison_fd_vs_normal.csv
90,30,rnn,RNN,log_returns,0.0020378793704788,0.0020406972127167,0.002337506939029,563.0,rnn_resultados.csv
90,90,rnn,RNN,log_returns,0.001090801638319,0.0010997116252933,0.0012687341591083,563.0,rnn_resultados.csv
