input_window,output_window,mae_train,mae_val,mae_test
5,1,0.01634722924373596,0.016366220432567285,0.017831318598601924
5,5,0.012949743419499043,0.012887564437751355,0.0136838542325188
5,30,0.011829071082709482,0.011946246936398001,0.012530489783791187
5,90,0.011689005328456282,0.011517646521648552,0.012220495239988555
10,1,0.01634669290851681,0.016373274867899922,0.017837397302791182
10,5,0.012967735094701742,0.01273122129064686,0.0136838542325188
10,30,0.011843053651704192,0.011828575349064369,0.012529263414979369
10,90,0.011692633900977648,0.01149004175802239,0.012221707585806254
30,1,0.016343024130194332,0.016442498786498883,0.017845825475992307
30,5,0.012973240086658362,0.012702233822897275,0.013691447162125066
30,30,0.011826113074070116,0.012009714044450689,0.012531131465248788
30,90,0.011662107304086605,0.0117905729249059,0.012220048952250328
90,1,0.016352283737424405,0.01647541293191086,0.017869874427954725
90,5,0.012938511183016786,0.013084761200727947,0.013712829713287347
90,30,0.011852531864762433,0.011854962955231368,0.012537383237796252
90,90,0.011660335080039443,0.0119110033957725,0.012209991374967775
