experiment_name,input_window,output_window,kernel_size,epochs,batch_size,n_params,best_epoch,best_val_mae_real,final_val_mae_real,train_mae_real,val_mae_real,test_mae_real
cnn_iw_90_ow_90,90,90,3,40,64,9527,37,0.0008577427374386223,0.0008674635031170304,0.0008382102555400656,0.0008577427374386223,0.0013616225825618152
cnn_iw_30_ow_90,30,90,3,40,64,9527,39,0.0008884613436339719,0.0008886819626585665,0.0008623129106690276,0.0008886819626585666,0.001349559246513172
cnn_iw_10_ow_90,10,90,3,40,64,9527,39,0.0009324265204236431,0.0009343072946662852,0.0009144113661224044,0.0009324265204236432,0.0014119013941694455
cnn_iw_5_ow_90,5,90,3,40,64,9527,39,0.001100422162135843,0.0011008894847184642,0.001015798378030487,0.001100422162135843,0.0013475621632182918
cnn_iw_30_ow_30,30,30,3,40,64,9527,37,0.0015730006450498037,0.001575769038910574,0.0015659915748757382,0.0015730006450498032,0.002446433372466789
cnn_iw_10_ow_30,10,30,3,40,64,9527,40,0.0016979104598093169,0.0016979104598093169,0.0016561101330232165,0.0016988157755626087,0.0024778898235499787
cnn_iw_90_ow_30,90,30,3,40,64,9527,34,0.0018605904080129484,0.0018709104532618264,0.0018349533906515726,0.0018605904080129488,0.002863229921465885
cnn_iw_5_ow_30,5,30,3,40,64,9527,40,0.0019049354642311752,0.0019049354642311752,0.0017824555732353419,0.0019049354642311754,0.0024568471653197204
cnn_iw_10_ow_5,10,5,3,40,64,9527,39,0.0047272742751983884,0.004741697721815802,0.004502331902518873,0.004727274275198389,0.006038984533137626
cnn_iw_5_ow_5,5,5,3,40,64,9527,39,0.004908046860051467,0.0049085961365763235,0.004598078032806045,0.004908046860051467,0.005966486229542319
cnn_iw_30_ow_5,30,5,3,40,64,9527,38,0.004909319859063493,0.004919062759471917,0.004806458915136243,0.004909319859063493,0.006168344786254743
cnn_iw_90_ow_5,90,5,3,40,64,9527,1,0.005211639988186527,0.00521190966037723,0.0053485074946086385,0.005211639988186527,0.005608037969730686
cnn_iw_5_ow_1,5,1,3,40,64,9527,24,0.011350410412599163,0.011351147678519698,0.01155567930863129,0.011350410412599165,0.0122834133045857
cnn_iw_90_ow_1,90,1,3,40,64,9527,26,0.011463222372318527,0.011463400637043064,0.011559411035642276,0.011463222372318527,0.01231060657604705
cnn_iw_30_ow_1,30,1,3,40,64,9527,4,0.011585552805148825,0.01158574268692363,0.011546254817337958,0.011585552805148823,0.012292328363845586
cnn_iw_10_ow_1,10,1,3,40,64,9527,28,0.011697788687140397,0.011697968418346156,0.011537012554524655,0.0116977886871404,0.012287680327019027
