experiment_name,input_window,output_window,kernel_size,epochs,batch_size,n_params,best_epoch,best_val_mae_real,final_val_mae_real,train_mae_real,val_mae_real,test_mae_real
cnn_iw_30_ow_90,30,90,10,50,32,9543,48,0.0007944597117804156,0.0007948490223684767,0.0007608006759754227,0.0007948490223684766,0.0013797014748164387
cnn_iw_10_ow_90,10,90,4,50,32,4263,46,0.0010022357728782841,0.0010030751187028902,0.0009824079578998252,0.0010022357728782846,0.001437696335752937
cnn_iw_5_ow_90,5,90,2,50,32,2503,47,0.0011355519273338992,0.0011359951515372657,0.0010996886877617305,0.001135551927333899,0.0013217844281074435
cnn_iw_90_ow_90,90,90,30,50,32,27143,7,0.0012546588478971525,0.0012546616867535377,0.0012192720159030373,0.0012546588478971527,0.001268630158734731
cnn_iw_90_ow_30,90,30,30,50,32,27143,50,0.001409894601390368,0.001409894601390368,0.0013539440148743324,0.0014098946013903684,0.0025327224783189034
cnn_iw_30_ow_30,30,30,10,50,32,9543,49,0.0014491938406233807,0.00146202816868604,0.001418285074624734,0.0014491938406233807,0.0025648056330827805
cnn_iw_10_ow_30,10,30,4,50,32,4263,49,0.0017891405694016424,0.001793338606674852,0.0017400991034275878,0.0017891405694016422,0.0024779637987136873
cnn_iw_5_ow_30,5,30,2,50,32,2503,47,0.0020095180962226844,0.002017261098202178,0.0019548858668242864,0.002009518096222684,0.00244305899101698
cnn_iw_30_ow_5,30,5,10,50,32,9543,48,0.004631440385939395,0.004632825656238332,0.004427819336392315,0.004631440385939394,0.006421156664423491
cnn_iw_10_ow_5,10,5,4,50,32,4263,47,0.0047987047106060774,0.004805401845876714,0.004605666973469752,0.00479870471060608,0.0060196688465374406
cnn_iw_5_ow_5,5,5,2,50,32,2503,49,0.005030083501973329,0.005040855085650502,0.0049435426673262025,0.005030083501973329,0.0058735778965786165
cnn_iw_90_ow_5,90,5,30,50,32,27143,1,0.005211683013677058,0.005211774653530997,0.005348469942142048,0.005211683013677058,0.005608376153908887
cnn_iw_5_ow_1,5,1,2,50,32,2503,27,0.011350828010513379,0.011390549522323087,0.011543773747587615,0.01135082801051338,0.012284438838542225
cnn_iw_90_ow_1,90,1,30,50,32,27143,40,0.011463907987069553,0.011464083456211912,0.011559743694144675,0.011463907987069559,0.012310020254440312
cnn_iw_30_ow_1,30,1,10,50,32,9543,14,0.011585553963398885,0.01158572812204447,0.01154634716849352,0.011585553963398887,0.012292428982127224
cnn_iw_10_ow_1,10,1,4,50,32,4263,3,0.011698182303657226,0.011734540953929694,0.011535906533215215,0.011698285498760964,0.012285839202922325
