experiment_name,input_window,output_window,kernel_size,epochs,batch_size,n_params,best_epoch,best_val_mae_real,final_val_mae_real,train_mae_real,val_mae_real,test_mae_real
cnn_iw_30_ow_90,30,90,3,283,64,9527,243,0.0007347507332914445,0.0007349782193059682,0.0007153865664814569,0.0007347507332914443,0.0019307485836352158
cnn_iw_90_ow_90,90,90,3,266,64,9527,226,0.0007695247415382676,0.0007697954771725085,0.0007575616880247302,0.0007695247415382677,0.0016113371870029338
cnn_iw_10_ow_90,10,90,3,349,64,9527,309,0.0007863631103069596,0.000786547896871763,0.0007589199774259071,0.0007863631103069593,0.0017517701063802756
cnn_iw_5_ow_90,5,90,3,288,64,9527,261,0.0008324007069605812,0.0008325131200321101,0.0007935732388092425,0.0008324138366980776,0.0018179795167315822
cnn_iw_30_ow_30,30,30,3,389,64,9527,332,0.0014938393056297366,0.00149408466331886,0.0014529631966036182,0.0014938490476433144,0.0026333301478814043
cnn_iw_10_ow_30,10,30,3,310,64,9527,270,0.001564882975887998,0.0015649698093532591,0.0015414187650986987,0.001564882975887998,0.0030926455594480796
cnn_iw_90_ow_30,90,30,3,297,64,9527,245,0.0016766138825097742,0.0016768338431314548,0.0016732432550584308,0.0016766157818923334,0.003878550286253093
cnn_iw_5_ow_30,5,30,3,253,64,9527,224,0.0016832203118512076,0.0016835802598369628,0.0015837379454963188,0.0016832336331784425,0.00263840929184861
cnn_iw_10_ow_5,10,5,3,300,64,9527,260,0.00462463920280385,0.004625415760369686,0.004494528351437028,0.004624639202803849,0.007317090561138895
cnn_iw_5_ow_5,5,5,3,278,64,9527,213,0.004792424686623637,0.0047947214341732235,0.004513385749225126,0.004792575991675656,0.0060420809449132145
cnn_iw_30_ow_5,30,5,3,315,64,9527,275,0.0051164160701083075,0.005117899036696246,0.004950618479863308,0.0051164160701083075,0.005364177039029497
cnn_iw_90_ow_5,90,5,3,195,64,9527,155,0.0054665520694272135,0.005466575935383797,0.005433020307546029,0.005466552069427213,0.005188848288798433
cnn_iw_90_ow_1,90,1,3,158,64,9527,158,0.011826018974613273,0.011826018974613273,0.011827520326083099,0.011826019161771499,0.01123982249272667
cnn_iw_10_ow_1,10,1,3,55,64,9527,15,0.011958132461437882,0.011964645807854635,0.011816326607772196,0.011958132461437876,0.011260611171403898
cnn_iw_5_ow_1,5,1,3,52,64,9527,12,0.01203139719037049,0.012040785111629477,0.01181137459821309,0.012031397190370486,0.011260508321242799
cnn_iw_30_ow_1,30,1,3,43,64,9527,3,0.012126164135311049,0.012128955561396313,0.011809341160767454,0.012126164135311045,0.011254497650969024
