experiment_name,input_window,output_window,pt_mult,sl_mult,kernel_size,epochs_run,batch_size,n_params,best_epoch,best_val_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1
cnn_tb_iw_10_ow_5_pt_2_sl_2,10,5,2.0,2.0,3,44,64,17093,14,1.0723274946212769,0.46409898051661347,0.44732909408439786,0.4404378883699849,0.46907295983333697,0.4074295269947444,0.34976203025411984,0.34389255094828314,0.414695085466557,0.4238391008577344,0.3753645280093251,0.3720340310498273,0.43361039127836953
cnn_tb_iw_5_ow_5_pt_2_sl_2,5,5,2.0,2.0,3,33,64,17093,3,1.079055666923523,0.44134367439591404,0.36320858595329475,0.3604424545510691,0.4265404946646079,0.46225513616817965,0.36154409298857226,0.3581269863875954,0.4473723778937769,0.45082495834900843,0.3501934694801287,0.3466071906165948,0.4356099027980334
cnn_tb_iw_5_ow_90_pt_2_sl_2,5,90,2.0,2.0,3,109,64,17093,79,0.6899582743644714,0.5472882803533776,0.6893869984847791,0.5147983727214176,0.5375486707584748,0.5409127734269511,0.5146119438925929,0.3392759480833609,0.527202994628288,0.5175237117302132,0.3369935654024689,0.3342732435552415,0.5093811351741052
cnn_tb_iw_10_ow_30_pt_2_sl_2,10,30,2.0,2.0,3,82,64,17093,52,0.875266969203949,0.5497670985567092,0.6059614992169288,0.47594105783864,0.5561474040695132,0.4601573954935815,0.3291767618875978,0.32426540587047725,0.4651801555795113,0.4555660250370171,0.3383041758124845,0.3329119376986519,0.4602314499105066
cnn_tb_iw_90_ow_30_pt_2_sl_2,90,30,2.0,2.0,3,88,64,17093,58,0.8754456639289856,0.43507999304989375,0.5007384577304487,0.3547569787398968,0.4685856411514852,0.4990979613927476,0.3422278374724083,0.33712981318364954,0.497784895740337,0.4340521089797354,0.3766169352975264,0.33216303525139607,0.41710354777026987
cnn_tb_iw_10_ow_90_pt_2_sl_2,10,90,2.0,2.0,3,36,64,17093,6,0.7299477458000183,0.5214621350669462,0.33930622010302963,0.3358798222842931,0.5118679809689398,0.5425774681719914,0.5206579968343583,0.517878670290927,0.5337700432974489,0.5140649066392845,0.33374382758650817,0.32990301176575404,0.5036212478523571
cnn_tb_iw_90_ow_90_pt_2_sl_2,90,90,2.0,2.0,3,144,64,17093,114,0.6914288997650146,0.5422054073634324,0.6872846080004985,0.38574413078673614,0.5378400966723306,0.5262649729958061,0.5026542362198132,0.4986384260660325,0.5158925895019927,0.4963202346359612,0.32923647581082277,0.3290658843096372,0.49680142380508674
cnn_tb_iw_30_ow_5_pt_2_sl_2,30,5,2.0,2.0,3,32,64,17093,2,1.082167387008667,0.43927634837118557,0.34667298758247317,0.3355904176898816,0.4100741925141479,0.4447999521559715,0.34460114655168955,0.3393813935653173,0.42833616037586614,0.4480279983847086,0.333983811327371,0.32469682367963654,0.42091724391469987
cnn_tb_iw_30_ow_90_pt_2_sl_2,30,90,2.0,2.0,3,156,64,17093,126,0.6882728338241577,0.5644221387615446,0.70405984945506,0.42883098629723476,0.5619121921306199,0.5396295628119551,0.505521681125814,0.49123880395410474,0.5140070404996819,0.4943859744054544,0.32442706989534903,0.32371493040337235,0.4915464998253616
cnn_tb_iw_5_ow_30_pt_2_sl_2,5,30,2.0,2.0,3,91,64,17093,61,0.9482723474502563,0.4815181660755892,0.5822947228768891,0.40006802755902804,0.5039509429243325,0.4327791400035883,0.34840783072200127,0.3228906084920738,0.4590886831702848,0.4101763359806165,0.35467964858713885,0.3201400393907716,0.44049578697378183
cnn_tb_iw_90_ow_5_pt_2_sl_2,90,5,2.0,2.0,3,34,64,17093,4,1.0838319063186646,0.4615461606213468,0.344569884988358,0.3275661922202496,0.4132064785568373,0.4674588171752633,0.3401150801779094,0.3300389597074969,0.4319993830220502,0.47755829978112246,0.33502882329350486,0.31794036011263554,0.42698213007273106
cnn_tb_iw_30_ow_30_pt_2_sl_2,30,30,2.0,2.0,3,65,64,17093,35,0.8641366958618164,0.4953225913842466,0.5172178267027077,0.39632992961168895,0.4725914497519262,0.440801293568092,0.3318540377147565,0.2948284614852306,0.40787169709992604,0.4593654815493679,0.3511575762390878,0.31434711567509066,0.4149143067631177
