input_window,output_window,modelo_ganador,mae_val_ganador,mae_test_ganador,n_params_ganador
5,1,mixto_profMIX,0.0114342840388417,0.0122962333261966,15303
5,5,mixto_biGRU_attention,0.0050359931774437,0.0061380872502923,20807
5,30,mixto_multibranch,0.0019106625113636,0.0025060272309929,20823
5,90,mixto_biGRU_attention,0.0010840891627594,0.0014179854188114,20807
10,1,mixto_multibranch,0.0116472765803337,0.0122879762202501,28055
10,5,mixto_biGRU_attention,0.0042991144582629,0.0062698819674551,77015
10,30,mixto_biGRU_attention,0.0012758973753079,0.002648043911904,77015
10,90,mixto_biGRU_attention,0.0006512963445857,0.0014588608173653,77015
30,1,mixto_multibranch,0.0115413200110197,0.0122998096048831,45463
30,5,mixto_convLSTM_causal,0.0039713094010949,0.0066318167373538,56023
30,30,mixto_adaptativo,0.0007318599964492,0.0029476485215127,66647
30,90,mixto_adaptativo,0.0002585383481346,0.0015475340187549,66647
90,1,mixto_multibranch,0.0115271070972085,0.0123159736394882,54103
90,5,mixto_profMIX,0.0038809976540505,0.0062703355215489,120983
90,30,mixto_convLSTM_causal,0.0007253317162394,0.0027530991937965,56023
90,90,mixto_convLSTM_causal,0.0002930925984401,0.0014657083665952,56023
