variante,model_name,input_window,output_window,n_params,mae_train,mae_val,mae_test,epochs_entrenadas,learning_rate,batch_size,loss_final,val_loss_final,model_path,timestamp
profMIX,mixto_profMIX_in5_out1,5,1,15303,0.0115556446835398,0.0114342840388417,0.0122962333261966,34,0.00025,128,0.6900515556335449,0.6827909350395203,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in5_out1.keras,2026-05-17T21:25:11
profMIX,mixto_profMIX_in5_out5,5,5,15303,0.0048543121665716,0.0050900219939649,0.0057295272126793,146,0.0005,128,0.672954797744751,0.6840121746063232,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in5_out5.keras,2026-05-17T21:27:42
profMIX,mixto_profMIX_in5_out30,5,30,15303,0.001840361743234,0.001943159266375,0.002406460000202,200,0.0005,128,0.6674309968948364,0.6695373058319092,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in5_out30.keras,2026-05-17T21:30:51
profMIX,mixto_profMIX_in5_out90,5,90,15303,0.0010625225258991,0.001140990643762,0.0013388950610533,126,0.0005,128,0.6805623769760132,0.6995218992233276,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in5_out90.keras,2026-05-17T21:32:51
profMIX,mixto_profMIX_in10_out1,10,1,16919,0.0115311918780207,0.0116559006273746,0.0122988177463412,200,0.00025,128,0.6915881633758545,0.6993212103843689,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in10_out1.keras,2026-05-17T21:37:22
profMIX,mixto_profMIX_in10_out5,10,5,16919,0.0046374863013625,0.0048033599741756,0.0057705785147845,141,0.0005,128,0.6496198177337646,0.6466590762138367,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in10_out5.keras,2026-05-17T21:40:35
profMIX,mixto_profMIX_in10_out30,10,30,16919,0.0017278260784223,0.0017720173345878,0.0024044406600296,179,0.0005,128,0.634207546710968,0.6092627644538879,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in10_out30.keras,2026-05-17T21:44:33
profMIX,mixto_profMIX_in10_out90,10,90,16919,0.0009380918345414,0.0009832947980612,0.0013155476190149,198,0.0005,128,0.6169188022613525,0.6009669303894043,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in10_out90.keras,2026-05-17T21:48:53
profMIX,mixto_profMIX_in30_out1,30,1,68087,0.0115460939705371,0.0115425195544958,0.0122995777055621,21,0.00025,64,0.6912305951118469,0.6955562829971313,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in30_out1.keras,2026-05-17T21:51:16
profMIX,mixto_profMIX_in30_out5,30,5,68087,0.0036778377834707,0.0042043579742312,0.0061485250480473,191,0.0005,64,0.5362710952758789,0.5628609657287598,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in30_out5.keras,2026-05-17T22:11:26
profMIX,mixto_profMIX_in30_out30,30,30,68087,0.0009110910468734,0.0010103518143296,0.0024897989351302,241,0.0005,64,0.3876779675483703,0.3508342504501343,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in30_out30.keras,2026-05-17T22:37:24
profMIX,mixto_profMIX_in30_out90,30,90,68087,0.0004394412680994,0.0004773302644025,0.0013864355860278,214,0.0005,64,0.3443498313426971,0.2941225171089172,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in30_out90.keras,2026-05-17T22:59:20
profMIX,mixto_profMIX_in90_out1,90,1,120983,0.0115544768050313,0.0115339150652289,0.0123166684061288,17,0.00025,32,0.6790251731872559,0.7049621939659119,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in90_out1.keras,2026-05-17T23:06:13
profMIX,mixto_profMIX_in90_out5,90,5,120983,0.002844878938049,0.0038809976540505,0.0062703355215489,185,0.0005,32,0.4443115293979645,0.5235480070114136,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in90_out5.keras,2026-05-18T00:21:37
profMIX,mixto_profMIX_in90_out30,90,30,120983,0.0006818975089117,0.0008084835135377,0.0025788580533117,144,0.0005,32,0.2996756732463836,0.2818442583084106,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in90_out30.keras,2026-05-18T01:02:35
profMIX,mixto_profMIX_in90_out90,90,90,120983,0.0002877901424653,0.0003293326008133,0.0012873726664111,135,0.0005,32,0.2174864709377288,0.2039581835269928,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_profMIX_in90_out90.keras,2026-05-18T02:09:31
