input_window,output_window,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,2247,0.01150946471578984,0.011438148041685517,0.012315449264702922,30
5,5,2247,0.005309383528738815,0.005328185630634626,0.005599737153187563,23
5,30,2247,0.0021434647892564643,0.0021213810429392293,0.0023274542073057057,19
5,90,2247,0.0012223652263174615,0.001272916464276665,0.0012697070823696245,17
10,1,4087,0.011439917189377669,0.011675972978766202,0.012349688216317585,26
10,5,4087,0.00529596159713309,0.005277696887421618,0.005618969774799054,18
10,30,4087,0.00213311661850248,0.0021029789476436924,0.002331511627203143,18
10,90,4087,0.0012232279527244869,0.0012560401127313689,0.0012708844508423532,14
30,1,2879,0.011494244546983877,0.011562228930116204,0.012321836634606015,14
30,5,2879,0.0052914790618572086,0.00528688063338014,0.0056141678696205195,14
30,30,2879,0.0021332603164389593,0.002138588547642253,0.0023249730578461616,14
30,90,2879,0.001219402016881214,0.001234715802139775,0.0012743690796927396,13
90,1,11447,0.011441384847255013,0.01162327401237207,0.012409700411360443,38
90,5,2879,0.00514560832220413,0.005395411959865389,0.005736228733736175,20
90,30,2879,0.001987843838684152,0.0020507930105296644,0.0024027126392179546,69
90,90,2879,0.0011034124473858849,0.0011510428522149313,0.0013736573424433952,99
