input_window,output_window,n_params,mae_train,mae_val,mae_test
5,1,2668,0.011627629784347981,0.01202025341475273,0.011665713936710191
5,5,2668,0.005332777624724707,0.005280351404941393,0.005496018764944387
5,30,2668,0.0021424975858483552,0.0022148289048505194,0.002172371799503747
5,90,2668,0.0012129234554467594,0.0012201602096610243,0.001216102626461313
10,1,5313,0.011590880193081868,0.011874839411647449,0.011979312619832833
10,5,5313,0.005306382788668976,0.005434872285772564,0.005521969923956737
10,30,5313,0.0021407197136715486,0.0021456519555081975,0.002154895222410848
10,90,5313,0.0012079867742906905,0.0012493226506501934,0.0012191046079898444
30,1,15893,0.01147569352287714,0.012268049153409899,0.012434881650267618
30,5,15893,0.005245876591860312,0.005560944759414699,0.0055688208493848085
30,30,15893,0.0020987306943362444,0.002235340899218872,0.0022718283119100694
30,90,15893,0.0011850828758694241,0.0012940532617538053,0.0012788849038432922
90,1,47633,0.011034367445921005,0.013361962585555115,0.013662878935322654
90,5,47633,0.0050214829479078215,0.006077710374872502,0.005962389653264277
90,30,47633,0.0019896092745678613,0.002472253820422124,0.0023990244309898866
90,90,47633,0.0011185440916832387,0.001359026058660672,0.0013561592034730295
