input_window,output_window,mejor_variante,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,lstm_a,16247,0.011545735895588058,0.011446422561855293,0.012292402196328659,19
5,5,lstm_a,16247,0.004426284735046439,0.0048959921107962386,0.005949654815179923,239
5,30,lstm_b,15831,0.0016537598118706272,0.001835992050437104,0.0024831405642174553,245
5,90,lstm_a,16247,0.000924410778677482,0.00103914928632757,0.0013729939694408447,300
10,1,lstm_a,16247,0.011504908443922423,0.011658124684885729,0.012296389323947584,20
10,5,lstm_a,16247,0.00417376505467181,0.004497918110330346,0.006032436067100579,300
10,30,lstm_a,16247,0.0014842406537957662,0.0015694193932481002,0.002493462687481801,300
10,90,lstm_a,16247,0.0007932530628476516,0.0008542380041308971,0.0014109026892744061,300
30,1,lstm_a,5063,0.011537707148988384,0.011545221151816965,0.012294174669444352,21
30,5,lstm_b,5879,0.004464105453533528,0.0046159309502573215,0.006130064619958056,231
30,30,lstm_b,5879,0.0015338201521159665,0.0015463044672885877,0.002532363552243129,300
30,90,lstm_b,5879,0.0008080494931837984,0.0008253834715604547,0.0013527222512240867,269
90,1,lstm_a,1775,0.011552228736652554,0.011529229633363915,0.012316912967594754,25
90,5,lstm_b,2439,0.004739569436955407,0.005009973647216075,0.005953438991175853,260
90,30,lstm_b,2439,0.0017287884577513748,0.0017345152666320058,0.0023900437017865127,162
90,90,lstm_b,2439,0.0008671316006655365,0.0008799425950352782,0.0013064918837962717,293
