input_window,output_window,variante,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,gru_a,12567,0.011520567043466774,0.01145341972374893,0.012324502412251229,21
5,5,gru_a,12567,0.0045100409337043325,0.004963570147788481,0.005841191406969982,174
5,30,gru_a,12567,0.0017308695233222888,0.0018935281074519167,0.002456253540393837,209
5,90,gru_a,12567,0.0009784755576093152,0.0010904852848104267,0.0013472797840688824,159
10,1,gru_a,12567,0.011501742223431952,0.011664728384651818,0.01230686923781187,20
10,5,gru_a,12567,0.004265806009404997,0.004542686889260805,0.006023119905338087,239
10,30,gru_a,12567,0.00153429985557612,0.0016091279571110125,0.0025062115034724924,259
10,90,gru_a,12567,0.0008291442334172603,0.0008899706122202642,0.0013857319514943706,300
30,1,gru_a,3991,0.011541209151364711,0.01155509412577741,0.012308458416038627,20
30,5,gru_a,3991,0.004619069525786027,0.004721032139857313,0.005904428071461137,284
30,30,gru_a,3991,0.0016053233356125996,0.001609640596967221,0.0023885641568475936,248
30,90,gru_a,3991,0.0008395725572148745,0.0008520650769027816,0.0013790188429312366,300
90,1,gru_a,1431,0.011548572782398344,0.011530871819542004,0.012315985608360417,28
90,5,gru_a,1431,0.004962106317231641,0.005138999418613403,0.005731902684708587,191
90,30,gru_a,1431,0.0017578780181659761,0.001752928036086305,0.002315460846339505,299
90,90,gru_a,1431,0.0009143205848495362,0.0009264627782081284,0.0012852113734486692,300
