input_window,output_window,variante,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,gru_b,12439,0.011500274143878468,0.011490087895827556,0.012355948201305898,22
5,5,gru_b,12439,0.004469376119051318,0.004956264172449908,0.005958067235761605,134
5,30,gru_b,12439,0.0016937274752088858,0.0018687655623693938,0.0024725003575792456,230
5,90,gru_b,12439,0.0009431555834291252,0.001065709196920288,0.0014034239744963335,232
10,1,gru_b,12439,0.01146025263736207,0.011689207128911583,0.012375941132162187,23
10,5,gru_b,12439,0.004229776220695248,0.004508949082104149,0.0059842903483119944,261
10,30,gru_b,12439,0.001526041299179919,0.00160612686255784,0.00251560160270702,262
10,90,gru_b,12439,0.0008323627584212579,0.0008924461870299582,0.0014006533987879675,300
30,1,gru_b,4695,0.011518939853274545,0.011582418327817989,0.012337280771796388,24
30,5,gru_b,4695,0.004523040058454006,0.004619081634021645,0.006140209009801212,225
30,30,gru_b,4695,0.0015686984042116306,0.0015747807642766394,0.00244051552641795,277
30,90,gru_b,4695,0.0008253791218588096,0.0008414246946809383,0.001347190959600404,300
90,1,gru_b,1975,0.011534081345614169,0.011550323030965473,0.012345866511680967,29
90,5,gru_b,1975,0.004870553900930212,0.0051142562459373896,0.005878371480839578,164
90,30,gru_b,1975,0.0017384191516574901,0.001738346801682494,0.002535288212974041,300
90,90,gru_b,1975,0.000875588110024336,0.0008844760055409026,0.0014016259896177867,300
