input_window,output_window,variante,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,gru_c,6231,0.011513464077908224,0.011458371266262944,0.012324383776798483,25
5,5,gru_c,6231,0.004677223541366142,0.0050080558907451165,0.005947841440481746,152
5,30,gru_c,6231,0.0018349824556501745,0.0019475420681286566,0.0024641613917675683,149
5,90,gru_c,6231,0.0010119190769957399,0.0011076974290430217,0.0013756831588785823,243
10,1,gru_c,6231,0.011490830161686309,0.01167421012974399,0.012339584786878374,23
10,5,gru_c,6231,0.004473349851632949,0.004688489665595739,0.005959637114586379,211
10,30,gru_c,6231,0.0016921700502206924,0.001736126487294127,0.0024820405912486295,185
10,90,gru_c,6231,0.0009355877899478582,0.0009797296307607233,0.0013775803995618758,173
30,1,gru_c,2359,0.011526300927207415,0.011552012292363072,0.01232532891757293,26
30,5,gru_c,2359,0.004746454193718848,0.004857944351781637,0.006061221928833003,247
30,30,gru_c,2359,0.001718502606317099,0.0017082321397506699,0.002443739582220082,300
30,90,gru_c,2359,0.0009175391906495195,0.0009277385021071455,0.001373531990010268,300
90,1,gru_c,999,0.011530312227674696,0.011536713197572475,0.012335910316781046,38
90,5,gru_c,999,0.005018978813166025,0.00521080045259907,0.005726536543182802,252
90,30,gru_c,999,0.0018217463096551656,0.0018121586863855353,0.002347757547232507,238
90,90,gru_c,999,0.0009613047147140292,0.0009686012058179157,0.0013152592772399032,300
