input_window,output_window,tipo,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,GRU,2359,0.011522786977397783,0.01144728135827086,0.01231427610108639,23
5,5,GRU,2359,0.005104589907092186,0.0052039819181829775,0.005656579758806534,99
5,30,GRU,2359,0.0020335471605840445,0.0020485243546244903,0.0023627407745482926,108
5,90,GRU,2359,0.0011378206208343255,0.0011949492376323132,0.001313777900675884,152
10,1,GRU,2359,0.011510072518879673,0.011659184305684573,0.012307994013977874,20
10,5,GRU,2359,0.005029212622626353,0.005065635475704286,0.005720465803706317,137
10,30,GRU,2359,0.0019417466341592686,0.001935496209083168,0.002378189716420572,122
10,90,GRU,2359,0.0010788363482205194,0.0011056130874571842,0.0012960620284007437,170
30,1,GRU,999,0.011537178648393757,0.011545991042794029,0.012304400799121191,21
30,5,GRU,999,0.005224533958916657,0.0051822955932491754,0.005615562403978545,130
30,30,GRU,999,0.0019867303025006633,0.0019792891829200476,0.0023710966331298797,138
30,90,GRU,999,0.0010973468221133248,0.0011005429817544025,0.0013034876836907846,145
90,1,GRU,463,0.011542521179781079,0.01152744868372693,0.012327902493586878,36
90,5,GRU,463,0.005288930118492943,0.005428668043894402,0.0056115708938003295,44
90,30,GRU,463,0.0020533685368628253,0.0020623449792057623,0.0023409373408250726,92
90,90,GRU,463,0.0011054178625350996,0.0011075068731188685,0.0012596652953277164,146
