input_window,output_window,variante,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,lstm_a,16247,0.011545735895588058,0.011446422561855293,0.012292402196328659,19
5,5,lstm_a,16247,0.004426284735046439,0.0048959921107962386,0.005949654815179923,239
5,30,lstm_a,16247,0.0016789133497012083,0.001846575147876139,0.002461012329440698,300
5,90,lstm_a,16247,0.000924410778677482,0.00103914928632757,0.0013729939694408447,300
10,1,lstm_a,16247,0.011504908443922423,0.011658124684885729,0.012296389323947584,20
10,5,lstm_a,16247,0.00417376505467181,0.004497918110330346,0.006032436067100579,300
10,30,lstm_a,16247,0.0014842406537957662,0.0015694193932481002,0.002493462687481801,300
10,90,lstm_a,16247,0.0007932530628476516,0.0008542380041308971,0.0014109026892744061,300
30,1,lstm_a,5063,0.011537707148988384,0.011545221151816965,0.012294174669444352,21
30,5,lstm_a,5063,0.004598896414873191,0.00471337081386866,0.006183729541571884,207
30,30,lstm_a,5063,0.0015702064346248632,0.0015782826658116826,0.002554264666429512,300
30,90,lstm_a,5063,0.0008275534327554633,0.0008447977653554348,0.0013760701149833983,300
90,1,lstm_a,1775,0.011552228736652554,0.011529229633363915,0.012316912967594754,25
90,5,lstm_a,1775,0.004863889468906887,0.005068399415336339,0.005926019053286513,212
90,30,lstm_a,1775,0.0017772559780727711,0.0017684722956839425,0.0024358919968260856,98
90,90,lstm_a,1775,0.000919152370638066,0.0009308413334443913,0.0013211089010070046,300
