input_window,output_window,variante,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,lstm_b,15831,0.011494550938738262,0.011484212824814651,0.012336334572050247,21
5,5,lstm_b,15831,0.004333867410711348,0.004916263835563208,0.006036623543328465,209
5,30,lstm_b,15831,0.0016537598118706272,0.001835992050437104,0.0024831405642174553,245
5,90,lstm_b,15831,0.0009213613410691604,0.0010546303980204774,0.0013831010129434099,246
10,1,lstm_b,15831,0.011464439205059233,0.011688669375852787,0.012320630997377492,21
10,5,lstm_b,15831,0.004193929795957565,0.004544874857494518,0.00593901455917859,211
10,30,lstm_b,15831,0.0014831289831998763,0.0015855293216061749,0.002535369685524787,280
10,90,lstm_b,15831,0.0008064915521923451,0.0008721927596375739,0.0013993469209200979,275
30,1,lstm_b,5879,0.01151112636211375,0.011586401733604788,0.012334951117052517,23
30,5,lstm_b,5879,0.004464105453533528,0.0046159309502573215,0.006130064619958056,231
30,30,lstm_b,5879,0.0015338201521159665,0.0015463044672885877,0.002532363552243129,300
30,90,lstm_b,5879,0.0008080494931837984,0.0008253834715604547,0.0013527222512240867,269
90,1,lstm_b,2439,0.01152840401523042,0.011553668240857273,0.012327367861258322,26
90,5,lstm_b,2439,0.004739569436955407,0.005009973647216075,0.005953438991175853,260
90,30,lstm_b,2439,0.0017287884577513748,0.0017345152666320058,0.0023900437017865127,162
90,90,lstm_b,2439,0.0008671316006655365,0.0008799425950352782,0.0013064918837962717,293
