input_window,output_window,tipo,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,LSTM,2951,0.011519523580339096,0.011435488326340927,0.012311872543857339,21
5,5,LSTM,2951,0.005063252843015288,0.0051853386302943534,0.005684663354128796,96
5,30,LSTM,2951,0.0019891980520400096,0.0020376681558637736,0.0023846871546999073,154
5,90,LSTM,2951,0.0011309822048563539,0.0011922074651171217,0.0013048284179737692,108
10,1,LSTM,2951,0.011496816689717072,0.011657986946827186,0.012316326285873197,19
10,5,LSTM,2951,0.004909712273314766,0.0050384535587399805,0.005752743815201901,172
10,30,LSTM,2951,0.0018847122314223582,0.001906674170760769,0.002360791825337743,184
10,90,LSTM,2951,0.0010698337124900356,0.0011031220092350778,0.0013011676825426869,83
30,1,LSTM,1231,0.011527519196007852,0.011539574233421163,0.012314511098898279,21
30,5,LSTM,1231,0.005192656212914008,0.005177900381315753,0.005633965408255474,135
30,30,LSTM,1231,0.0019512918044321775,0.001936241335043489,0.0023383055935976326,133
30,90,LSTM,1231,0.001071512987819517,0.0010725543939319308,0.0012982671600791714,160
90,1,LSTM,563,0.01154200900524087,0.011535663777904187,0.012312383820738303,22
90,5,LSTM,563,0.005251980852295138,0.005413462687768053,0.005616138473573972,105
90,30,LSTM,563,0.0020378289842722342,0.002053056249572313,0.0023213205419339335,137
90,90,LSTM,563,0.001098670557391973,0.001104617958601663,0.0012504810298822784,128
